,Date,Open,High,Low,Close,Volume,SMA,RSI,EMA,MACD
0,2017-03-01,32.5815,32.5815,32.5815,32.5815,700,0.0,0.0,32.5815,0.0
1,2017-04-01,37.4022,37.4022,37.4022,37.4022,8868,0.0,100.0,35.25966666666667,0.38455726495726594
2,2017-05-01,42.971000000000004,42.971000000000004,38.2334,40.9762,764180,0.0,100.0,37.60250819672131,0.9665715635425016
3,2017-06-01,43.3866,43.3866,36.5711,36.5711,250926,0.0,62.921401537315326,37.25311517615176,1.0601466229635008
4,2017-09-01,38.3997,38.3997,34.0776,34.7425,159553,0.0,53.974731374845675,36.50626392194193,0.9755077478892034
5,2017-10-01,34.7425,36.6542,32.6646,35.7399,129615,0.0,57.52251530823532,36.29853669008587,0.9776430138806873
6,2017-11-01,35.1581,36.5711,34.9087,36.1555,91056,0.0,58.94269130166534,36.2623379196968,1.0013279885021547
7,2017-12-01,35.9062,36.1555,35.3243,35.3243,113008,0.0,54.98329633205743,36.03690976778667,0.9421668946756441
8,2017-01-13,35.2412,35.4074,34.9087,35.075,168714,36.06313333333333,53.81565641199085,35.81470383936898,0.8651914861827876
9,2017-01-16,34.9088,34.9088,33.3296,34.0776,111337,36.229366666666664,49.304418118604275,35.425491740610845,0.7154587133045354
10,2017-01-17,33.662,33.8283,32.8309,33.1633,163282,35.75837777777778,45.536104495050566,34.93053711378418,0.5170577235759382
11,2017-01-18,32.8308,33.1633,31.5841,32.4153,115276,34.80716666666667,42.66325576421599,34.390369666714925,0.2960534413261726
12,2017-01-19,32.2491,32.8309,31.8335,32.4153,67936,34.34541111111111,42.66325576421599,33.97237630531217,0.11952810974784711
13,2017-01-20,31.9997,32.2491,31.4179,31.6672,172546,34.00371111111111,39.754104630333906,33.490131702312524,-0.07981484929212002
14,2017-01-23,31.5841,31.7503,31.4179,31.6672,95764,33.55118888888889,39.75410463033391,33.11224982528299,-0.23508565937424208
15,2017-01-24,31.5841,31.9997,31.5841,31.8335,92226,33.07096666666666,40.79491888347862,32.849092644081395,-0.34079144323488464
16,2017-01-25,31.6673,32.166,31.5842,31.9997,144059,32.701566666666665,41.87567363592004,32.675300667868555,-0.4064675822341357
17,2017-02-02,32.4153,32.4984,31.6672,32.3322,35528,32.39681111111111,44.07514520324481,32.605421706843515,-0.4267669209687739
18,2017-03-02,32.6647,32.914,32.0829,32.1659,191300,32.184400000000004,43.19475198747338,32.51623200642985,-0.4510736174592296
19,2017-06-02,32.4152,32.4152,31.8334,32.0828,86780,32.06434444444445,42.735380570208996,32.428534521986734,-0.47160594527984756
20,2017-07-02,31.9997,31.9997,31.5841,31.7503,131437,31.990455555555556,40.862816891449604,32.29162484873757,-0.5088423167030669
21,2017-08-02,31.5841,32.5815,31.5841,32.249,95870,31.97197777777778,44.77161941836123,32.28303650822226,-0.49243500295541764
22,2017-09-02,32.3321,32.3321,31.9997,32.1659,76107,32.0273888888889,44.24679831946148,32.259470095028064,-0.480597534885824
23,2017-10-02,32.1659,35.7399,32.1659,35.6568,440047,32.47067777777779,63.56737294305966,32.942159987890705,-0.18736991705483064
